date,Open,High,Low,Close,Volume,symbol,daily_return,price_change,volatility_5,volatility_10,volatility_20,MA_5,price_vs_MA_5,MA_10,price_vs_MA_10,MA_20,price_vs_MA_20,MA_50,price_vs_MA_50,RSI_14,volume_MA_5,volume_ratio,price_range,momentum_5,momentum_10,target_3_days,target_7_days,target_direction_3d,target_direction_7d,trend_5,trend_20,resistance_20,support_20,distance_to_resistance,distance_to_support
2024-02-01,182.26867176596141,185.20097077595153,182.1002640289582,185.11181640625,64885400,AAPL,0.013340626040728942,2.4369964599609375,0.01351368524596808,0.01272848005189531,0.01358241314398202,186.9246856689453,-0.009698394068218485,189.48550262451172,-0.02308190419680134,186.20052642822264,-0.005846976068525356,188.97770141601563,-0.020456831577474133,52.16652153646377,53590440.0,1.210764457242747,0.016750452819221724,-0.03764748345539748,-0.009383248087866503,0.013057837587606702,0.0028299084168406097,1,1,0,0,194.54276001272405,178.48440937769652,0.05094728034960617,0.035802182471208865
2024-02-02,178.1773017145222,185.5774165638072,177.57300802816712,184.11126708984375,102551700,AAPL,-0.005405107765840467,-1.00054931640625,0.013513857643639054,0.011381385665146794,0.013295980726821593,185.62297973632812,-0.008143995148831906,188.9198471069336,-0.025453016666735162,186.39568405151368,-0.012255739575164126,188.86674957275392,-0.025179034921010812,49.88328407039421,65181980.0,1.5733136673663488,0.043475929866551986,-0.03414403841549529,-0.029807767767201176,0.019155197168619464,-0.0030880374105041186,1,0,0,0,194.54276001272405,177.57300802816712,0.05665863413883231,0.03551254176359585
2024-02-05,186.3897373769733,187.47945226083425,184.10135123689923,185.92413330078125,69668800,AAPL,0.009846579405989653,1.8128662109375,0.015512520952182371,0.011058244231815577,0.01337338255570337,184.8205596923828,0.005971054357995831,188.30465545654297,-0.012641865651118245,186.7176429748535,-0.00424978412018151,188.80810333251952,-0.015274609409423268,56.8574585012894,69686620.0,0.9997442837663816,0.018169244432997025,-0.02112340623672193,-0.03202854551705858,0.0034101716214498534,-0.017556491226227156,1,0,1,0,194.54276001272405,177.57300802816712,0.046355610532818226,0.04491684389946292
2024-02-06,185.11180183413052,187.53887744205016,185.02264747144727,187.5289764404297,43490800,AAPL,0.008631709671880872,1.6048431396484375,0.013632738189480237,0.011269709458155058,0.012425693004918784,185.07020263671876,0.013285627662802835,187.72215881347657,-0.0010290866793132292,186.90289230346679,0.0033497830303574894,188.76827941894533,-0.006565207789838379,60.96027525326841,67212900.0,0.6470603113390435,0.013417819573084466,0.006700717294490399,-0.030125925254844588,-0.0011041587892626215,-0.02749802907249277,0,0,1,1,194.54276001272405,177.57300802816712,0.03740106572022138,0.05309029357084541
2024-02-07,188.85644306077413,189.26261088240534,186.84543618864265,187.63795471191406,53439000,AAPL,0.0005811276398610676,0.108978271484375,0.007636122007597828,0.011323377226787596,0.012401770096691949,186.06282958984374,0.008465555025377824,187.217919921875,0.00224356082053645,187.11439514160156,0.0027980721093974203,188.75718444824219,-0.005929468272160121,51.60105468157216,66807140.0,0.7998995316967618,0.012882120237741063,0.027169233105494683,-0.02616971104095911,-0.010671022402869101,-0.03625660839871969,0,0,1,1,194.54276001272405,177.57300802816712,0.03679855342385888,0.05364024937918312
2024-02-08,187.61814818475136,187.7667388029894,185.5972401965417,186.55816650390625,40962000,AAPL,-0.005754636420257531,-1.0797882080078125,0.007443945732274757,0.011360441947142957,0.012448687427268096,186.352099609375,0.0011057932535409876,186.63839263916014,-0.0004298479756467133,187.21989898681642,-0.0035345200296084123,188.7280599975586,-0.011497460916412905,42.80645117163454,62022460.0,0.6604381703015327,0.011629073372150084,0.007813386123779686,-0.030128251656443394,-0.016163548082834045,-0.03466615672670892,0,0,1,0,194.54276001272405,177.57300802816712,0.042799485321113565,0.048162772201939444
2024-02-09,187.12352087688578,188.45268968737696,186.4787864459619,187.32191467285156,45155200,AAPL,0.004093887623672243,0.7637481689453125,0.006346894404164493,0.011345227868788799,0.01243663556071109,186.99422912597657,0.0017523832067256606,186.30860443115233,0.005438880532614876,187.393310546875,-0.0003809947847929207,188.70212463378905,-0.007314225865850954,38.552409870072985,50543160.0,0.8933988298317715,0.010537492342326218,0.017438626292442194,-0.01730083724909559,-0.024887407302296993,-0.03457760051885217,0,0,1,0,194.54276001272405,177.57300802816712,0.0385477873877348,0.05204359917904118
2024-02-12,186.89539390047275,187.14337102036012,185.27857823550397,185.6356658935547,41781900,AAPL,-0.009001876701088762,-1.686248779296875,0.007164727566049788,0.011573013944166757,0.01263354196521137,186.93653564453126,-0.0069588844496949465,185.87854766845703,-0.0013066692092708054,187.4660629272461,-0.009763884753912877,188.66287109375,-0.016045580047867714,31.7734251079019,44965780.0,0.92919326652401,0.010045444531792937,-0.0015515328865881584,-0.022642165463857,-0.017579416560446925,-0.014854322590201252,0,0,0,0,194.54276001272405,177.57300802816712,0.04798158843180907,0.04343269827259796
2024-02-13,184.26682864248664,184.70327076235637,182.02510596048688,183.542724609375,56529500,AAPL,-0.01127445673817773,-2.0929412841796875,0.006464233618145787,0.010494849352108015,0.01258003289573624,186.1392852783203,-0.013949557531946377,185.60474395751953,-0.011109734073480815,187.54759826660157,-0.021353905324522415,188.57026733398436,-0.026661375601196302,29.777302901958038,47573520.0,1.1882555673828634,0.014591506187833336,-0.02125672472979645,-0.0146984427383271,-0.014753435462781517,-0.01361856220678348,0,0,0,0,194.54276001272405,177.57300802816712,0.05993174301383987,0.03252494259259217
2024-02-14,183.82050423664703,184.02879656144881,180.9638026996327,182.6599578857422,54630500,AAPL,-0.004809598013277627,-0.8827667236328125,0.0058753333366445655,0.008564368857887963,0.012571626113229104,185.14368591308593,-0.013415137627268092,185.60325775146484,-0.01585801834181122,187.63205032348634,-0.026499163811150805,188.43445007324217,-0.0306445673031418,29.062258989486168,47811820.0,1.142614943334096,0.016779779746436418,-0.026529796883656753,-8.135801393560627e-05,-0.014064637100785982,-0.016236755378899792,0,0,0,0,194.54276001272405,177.57300802816712,0.06505422570180823,0.02784928846177148
2024-02-15,182.06480997798818,182.99720639873473,179.8826142837668,182.37229919433594,65434500,AAPL,-0.0015748316967542086,-0.28765869140625,0.006096446269805645,0.007173539307724725,0.010060474571775932,184.30651245117187,-0.010494546454772546,185.32930603027344,-0.01595541956788249,187.40740432739258,-0.02686716221873786,188.32874053955078,-0.031627893481101066,30.9986177182367,52706320.0,1.2414924813570745,0.017078208306454613,-0.0224373308765482,-0.0147992562824939,-0.008375871018882153,-0.006689870130826336,0,0,0,0,194.54276001272405,177.57300802816712,0.06673415245710788,0.026315899878274217
2024-02-16,181.9358579237584,183.35429496994237,180.2000180232841,180.8348388671875,49752500,AAPL,-0.008430339113672747,-1.5374603271484375,0.00382599701942298,0.007417718161261194,0.009370031278057855,183.00909729003905,-0.011880602959347453,185.0016632080078,-0.02252317232486345,186.96075515747071,-0.03276578705046185,188.11322875976563,-0.03869153669077241,29.82512394748646,53625780.0,0.9277720529193235,0.01744286093552424,-0.03463062940069461,-0.017795913712643108,0.011299454097106754,-0.004881703038816632,1,0,0,0,194.54276001272405,177.57300802816712,0.0758035411285112,0.01803762405216618
2024-02-20,180.31904659124555,180.95386745060242,178.54353696650966,180.09091186523438,53665600,AAPL,-0.0041138477884756774,-0.743927001953125,0.003816901095794642,0.006202896823777372,0.008726398507323036,181.900146484375,-0.009946306553942463,184.41834106445313,-0.023465286447329814,186.36149826049805,-0.03364743497875611,187.90463195800783,-0.04158343523175967,34.2455081262292,56002520.0,0.9582711635119276,0.013383965126993481,-0.029869012517776183,-0.03137420264915314,0.005287466877606173,-0.004461281643673987,1,0,0,0,194.54276001272405,177.57300802816712,0.08024751497901392,0.013981293175701444
2024-02-21,180.4678422502364,181.41015233649017,179.1982005294332,180.8447723388672,41371400,AAPL,0.004185999536705953,0.7538604736328125,0.004681354761048938,0.0053663480028690825,0.008596557248543645,181.36055603027344,-0.0028439684057880443,183.7499206542969,-0.015810337795439833,185.7360397338867,-0.02633450891936473,187.67247802734374,-0.036380964114950065,44.551040324500555,52970900.0,0.7810212777204087,0.012231217847493089,-0.014699314703155553,-0.035643580146590303,-0.00636247037697002,-0.014589798396755671,0,0,0,0,194.54276001272405,177.57300802816712,0.07574444921299439,0.018091561444582027
2024-02-22,181.99537582737872,183.463411373256,180.98364000764028,182.878173828125,52292200,AAPL,0.011243905272791732,2.0334014892578125,0.007649816491994424,0.007077975544490827,0.009190557051691108,181.40419921875,0.008125361020984823,183.27394256591796,-0.0021594381189820044,185.24593124389648,-0.012781697281405213,187.45246124267578,-0.024402386526303887,43.18555925487304,52503240.0,0.9959804385405548,0.013559690113410168,0.0011946566993041863,-0.02536683418393093,-0.009437548476842639,-0.050279330075066464,0,0,1,0,194.43379881211092,177.57300802816712,0.0631875567329663,0.029009289019606286
2024-02-23,183.51297897874218,183.54273502175582,180.7554746671187,181.0431365966797,45119700,AAPL,-0.010034205794125728,-1.8350372314453125,0.008977854270487907,0.0074150505012827534,0.009336928871665475,181.13836669921875,-0.0005257312643057732,182.72243957519532,-0.009190458393724343,184.68041610717773,-0.01969499304348099,187.24587066650392,-0.03312614610803177,41.093198648783925,48440280.0,0.9314500246489079,0.015395559351396205,-0.007288182490038708,-0.029561986004569163,-0.006026628418091984,-0.06793768783961152,0,0,0,0,192.93790105900956,177.57300802816712,0.06570127255819994,0.01916741299198307
2024-02-26,180.7654158601022,181.28119739799624,179.18826979539264,179.69415283203125,40867400,AAPL,-0.007451173184508164,-1.3489837646484375,0.008795807276660687,0.00708413605621201,0.00929027064338626,180.9102294921875,-0.0067219894837885485,181.95966339111328,-0.012450619642071059,184.1341339111328,-0.02411275402769364,186.98198608398437,-0.03897612494435554,31.413744127608425,46663260.0,0.8757939329571058,0.011647165862764354,-0.006307888691702956,-0.04072007193681437,-0.002263163490210496,-0.06646059979436902,0,0,0,0,190.40183756577807,177.57300802816712,0.059588387073205455,0.01180419490803834
2024-02-27,179.6346334198553,182.43180748858953,178.1070858709482,181.15225219726562,54318900,AAPL,0.008114339516641644,1.458099365234375,0.009469078645527084,0.007806134036012826,0.009608134878914702,181.12249755859375,0.00016427908776073252,181.51132202148438,-0.0019782227368507765,183.6949348449707,-0.01384187674990045,186.68287200927733,-0.029625748481825642,30.807913345941145,46793920.0,1.160811062633778,0.02387340794930845,0.005893358643358271,-0.024151682677508224,-0.01626239029433474,-0.07463177626269013,0,0,1,0,190.00559424490717,177.57300802816712,0.04887238187908758,0.019758209603714372
2024-02-28,181.03323362922586,181.63829848228303,178.67250144683115,179.95205688476562,48953900,AAPL,-0.006625340275610014,-1.2001953125,0.009846967939156844,0.007344625661079236,0.008820186476216988,180.94395446777344,-0.005481794547518182,181.15225524902343,-0.006625357010366373,183.37849960327148,-0.018685084270613883,186.35678192138673,-0.03436808132543778,28.293472911604923,48310420.0,1.0133196937637885,0.01648103993249195,-0.004936363061846194,-0.019563116610866627,-0.03483636269900858,-0.05892411461453917,0,0,0,0,189.26261088240534,177.57300802816712,0.05173908072416108,0.013220459370030723
